days,repository_language,lang_count
2012-09-10,CoffeeScript,784
2012-09-11,CoffeeScript,790
2012-09-12,CoffeeScript,860
2012-09-13,CoffeeScript,575
2012-09-14,CoffeeScript,391
2012-09-15,CoffeeScript,345
2012-09-16,CoffeeScript,351
2012-09-17,CoffeeScript,461
2012-09-18,CoffeeScript,406
2012-09-19,CoffeeScript,369
2012-09-20,CoffeeScript,325
2012-09-21,CoffeeScript,291
2012-09-22,CoffeeScript,233
2012-09-23,CoffeeScript,268
2012-09-24,CoffeeScript,429
2012-09-25,CoffeeScript,362
2012-09-26,CoffeeScript,499
2012-09-27,CoffeeScript,505
2012-09-28,CoffeeScript,418
2012-09-29,CoffeeScript,321
2012-09-30,CoffeeScript,354
2012-10-01,CoffeeScript,414
2012-10-02,CoffeeScript,427
2012-10-03,CoffeeScript,394
2012-10-04,CoffeeScript,479
2012-10-05,CoffeeScript,411
2012-10-06,CoffeeScript,357
2012-10-07,CoffeeScript,339
2012-10-08,CoffeeScript,504
2012-10-09,CoffeeScript,411
2012-10-10,CoffeeScript,372
2012-10-11,CoffeeScript,383
2012-10-12,CoffeeScript,453
2012-10-13,CoffeeScript,371
2012-10-14,CoffeeScript,477
2012-10-15,CoffeeScript,393
2012-10-16,CoffeeScript,435
2012-10-17,CoffeeScript,445
2012-10-18,CoffeeScript,530
2012-10-19,CoffeeScript,414
2012-10-20,CoffeeScript,349
2012-10-21,CoffeeScript,237
2012-10-22,CoffeeScript,464
2012-10-23,CoffeeScript,427
2012-10-24,CoffeeScript,373
2012-10-25,CoffeeScript,531
2012-10-26,CoffeeScript,508
2012-10-27,CoffeeScript,329
2012-10-28,CoffeeScript,312
2012-10-29,CoffeeScript,367
2012-10-30,CoffeeScript,441
2012-10-31,CoffeeScript,480
2012-11-01,CoffeeScript,492
2012-11-02,CoffeeScript,390
2012-11-03,CoffeeScript,376
2012-11-04,CoffeeScript,358
2012-11-05,CoffeeScript,488
2012-11-06,CoffeeScript,548
2012-11-07,CoffeeScript,408
2012-11-08,CoffeeScript,471
2012-11-09,CoffeeScript,440
2012-11-10,CoffeeScript,299
2012-11-11,CoffeeScript,391
2012-11-12,CoffeeScript,424
2012-11-13,CoffeeScript,552
2012-11-14,CoffeeScript,517
2012-11-15,CoffeeScript,525
2012-11-16,CoffeeScript,442
2012-11-17,CoffeeScript,254
2012-11-18,CoffeeScript,319
2012-11-19,CoffeeScript,469
2012-11-20,CoffeeScript,476
2012-11-21,CoffeeScript,494
2012-11-22,CoffeeScript,464
2012-11-23,CoffeeScript,344
2012-11-24,CoffeeScript,300
2012-11-25,CoffeeScript,354
2012-11-26,CoffeeScript,395
2012-11-27,CoffeeScript,451
2012-11-28,CoffeeScript,586
2012-11-29,CoffeeScript,541
2012-11-30,CoffeeScript,511
2012-12-01,CoffeeScript,452
2012-12-02,CoffeeScript,472
2012-12-03,CoffeeScript,521
2012-12-04,CoffeeScript,495
2012-12-05,CoffeeScript,551
2012-12-06,CoffeeScript,527
2012-12-07,CoffeeScript,419
2012-12-08,CoffeeScript,365
2012-12-09,CoffeeScript,419
2012-12-10,CoffeeScript,513
2012-12-11,CoffeeScript,502
2012-12-12,CoffeeScript,521
2012-12-13,CoffeeScript,555
2012-12-14,CoffeeScript,628
2012-12-15,CoffeeScript,463
2012-12-16,CoffeeScript,441
2012-12-17,CoffeeScript,606
2012-12-18,CoffeeScript,535
2012-12-19,CoffeeScript,489
2012-12-20,CoffeeScript,458
2012-12-21,CoffeeScript,382
2012-12-22,CoffeeScript,343
2012-12-23,CoffeeScript,226
2012-12-24,CoffeeScript,294
2012-12-25,CoffeeScript,262
2012-12-26,CoffeeScript,310
2012-12-27,CoffeeScript,445
2012-12-28,CoffeeScript,369
2012-12-29,CoffeeScript,328
2012-12-30,CoffeeScript,369
2012-12-31,CoffeeScript,527
2013-01-01,CoffeeScript,239
2013-01-02,CoffeeScript,498
2013-01-03,CoffeeScript,505
2013-01-04,CoffeeScript,641
2013-01-05,CoffeeScript,469
2013-01-06,CoffeeScript,515
2013-01-07,CoffeeScript,588
2013-01-08,CoffeeScript,574
2013-01-09,CoffeeScript,564
2013-01-10,CoffeeScript,717
2013-01-11,CoffeeScript,548
2013-01-12,CoffeeScript,397
2013-01-13,CoffeeScript,413
2013-01-14,CoffeeScript,645
2013-01-15,CoffeeScript,645
2013-01-16,CoffeeScript,421
2013-01-17,CoffeeScript,444
2013-01-18,CoffeeScript,442
2013-01-19,CoffeeScript,368
2013-01-20,CoffeeScript,293
2013-01-21,CoffeeScript,424
2013-01-22,CoffeeScript,458
2013-01-23,CoffeeScript,513
2013-01-24,CoffeeScript,391
2013-01-25,CoffeeScript,466
2013-01-26,CoffeeScript,388
2013-01-27,CoffeeScript,349
2013-01-28,CoffeeScript,499
2013-01-29,CoffeeScript,490
2013-01-30,CoffeeScript,461
2013-01-31,CoffeeScript,442
2013-02-01,CoffeeScript,391
