days,repository_language,lang_count
2013-05-14,Ruby,11621
2012-05-12,Ruby,12975
2012-07-19,Ruby,13882
2012-06-21,Ruby,14008
2012-05-13,Ruby,13068
2012-11-08,Ruby,8545
2013-03-19,Ruby,12739
2013-10-09,Ruby,12651
2012-06-11,Ruby,21840
2013-02-04,Ruby,7710
2012-07-10,Ruby,15614
2013-08-20,Ruby,11490
2012-07-21,Ruby,8934
2013-05-15,Ruby,11705
2013-09-16,Ruby,10817
2012-07-12,Ruby,15154
2013-07-17,Ruby,12514
2012-05-09,Ruby,20502
2012-03-18,Ruby,15105
2012-10-12,Ruby,7571
2013-05-30,Ruby,10844
2012-03-24,Ruby,14031
2013-03-23,Ruby,7270
2013-06-11,Ruby,11543
2013-08-17,Ruby,6224
2012-04-15,Ruby,15963
2013-02-23,Ruby,7458
2012-08-09,Ruby,15022
2013-02-17,Ruby,5780
2013-07-14,Ruby,7545
2012-08-01,Ruby,14372
2013-07-10,Ruby,13077
2013-05-09,Ruby,11072
2013-02-12,Ruby,8666
2012-11-25,Ruby,5727
2013-02-14,Ruby,8140
2013-08-06,Ruby,11990
2013-07-15,Ruby,11700
2012-07-15,Ruby,8858
2012-09-28,Ruby,6964
2013-06-30,Ruby,7440
2013-07-18,Ruby,12905
2013-02-22,Ruby,9816
2012-07-09,Ruby,14110
2012-04-12,Ruby,20784
2012-05-10,Ruby,20583
2013-09-04,Ruby,4534
2013-08-30,Ruby,10332
2013-04-11,Ruby,12069
2012-07-24,Ruby,15354
2013-08-26,Ruby,10045
2013-06-09,Ruby,7846
2012-12-12,Ruby,9287
2012-06-19,Ruby,14182
2013-04-14,Ruby,8122
2013-06-25,Ruby,12439
2012-12-26,Ruby,5291
2013-02-08,Ruby,7455
2013-04-28,Ruby,8433
2013-03-06,Ruby,10639
2012-11-27,Ruby,8866
2013-08-10,Ruby,6938
2012-10-27,Ruby,5306
2012-03-11,Ruby,11769
2012-05-03,Ruby,21519
2013-04-20,Ruby,7952
2012-08-23,Ruby,28740
2012-08-06,Ruby,13580
2013-08-19,Ruby,10810
2013-01-26,Ruby,5583
2012-05-31,Ruby,19326
2013-07-12,Ruby,11036
2013-08-14,Ruby,10720
2013-05-02,Ruby,11506
2012-04-11,Ruby,21552
2013-05-17,Ruby,9988
2012-11-06,Ruby,8698
2012-10-02,Ruby,7764
2012-12-11,Ruby,9195
2013-10-01,Ruby,11760
2013-02-19,Ruby,8611
2013-04-09,Ruby,12097
2012-05-04,Ruby,20064
2013-03-16,Ruby,7376
2013-09-26,Ruby,11223
2013-06-10,Ruby,10946
2013-01-04,Ruby,8292
2012-10-06,Ruby,4796
2012-04-22,Ruby,16731
2012-08-19,Ruby,15802
2013-06-12,Ruby,10918
2012-04-02,Ruby,18690
2013-04-05,Ruby,10848
2012-03-28,Ruby,20010
2013-09-07,Ruby,7215
2012-06-27,Ruby,13418
2012-10-16,Ruby,8548
2012-03-26,Ruby,19884
2012-08-24,Ruby,25736
2012-06-02,Ruby,14973
2012-10-26,Ruby,7626
2012-07-26,Ruby,14426
2013-08-18,Ruby,7149
2013-02-21,Ruby,10226
2013-06-04,Ruby,11575
2012-04-03,Ruby,19920
2012-07-28,Ruby,8838
2012-04-06,Ruby,17736
2012-09-14,Ruby,7187
2012-12-10,Ruby,8757
2013-07-22,Ruby,10561
2013-07-05,Ruby,10484
2013-03-08,Ruby,10093
2012-05-29,Ruby,21591
2012-05-22,Ruby,22626
2013-04-16,Ruby,10413
2012-10-15,Ruby,8367
2013-06-18,Ruby,12268
2013-05-23,Ruby,11432
2012-10-09,Ruby,8205
2013-05-25,Ruby,6829
2012-10-28,Ruby,5793
2013-01-05,Ruby,5809
2012-03-15,Ruby,19887
2013-08-11,Ruby,7375
2012-03-16,Ruby,18990
2013-04-27,Ruby,7459
2012-03-14,Ruby,18984
2013-01-29,Ruby,8533
2012-03-29,Ruby,21765
2013-02-07,Ruby,8290
2012-06-22,Ruby,13204
2013-02-01,Ruby,6644
2012-08-12,Ruby,11436
2012-05-21,Ruby,20952
2012-10-03,Ruby,8119
2013-09-22,Ruby,7690
2013-06-23,Ruby,7113
2012-11-29,Ruby,8347
2013-09-27,Ruby,10110
2013-07-16,Ruby,12932
2013-08-04,Ruby,6839
2013-08-13,Ruby,11448
2012-09-09,Ruby,10556
2012-11-16,Ruby,8557
2013-08-01,Ruby,11497
2012-08-05,Ruby,8682
2013-05-03,Ruby,10775
2012-07-30,Ruby,13972
2013-06-20,Ruby,11464
2013-06-01,Ruby,7238
2012-12-31,Ruby,5321
2013-03-28,Ruby,10764
2013-09-29,Ruby,7725
2013-08-15,Ruby,8839
2012-12-17,Ruby,8915
2012-04-21,Ruby,13977
2012-05-19,Ruby,12057
2013-05-06,Ruby,11025
2012-09-18,Ruby,7755
2012-09-04,Ruby,14770
2012-08-22,Ruby,31400
2013-07-21,Ruby,7641
2012-11-24,Ruby,5348
2013-03-18,Ruby,10261
2012-08-10,Ruby,13852
2012-05-08,Ruby,20718
2013-10-03,Ruby,15955
2013-04-17,Ruby,10114
2012-12-18,Ruby,9411
2012-09-03,Ruby,11900
2013-03-05,Ruby,10655
2013-01-27,Ruby,5684
2012-04-23,Ruby,22548
2013-01-03,Ruby,8195
2012-09-13,Ruby,10372
2012-03-25,Ruby,14412
2012-09-02,Ruby,8844
2013-01-06,Ruby,6157
2012-08-21,Ruby,29924
2012-03-13,Ruby,21729
2012-12-15,Ruby,5296
2013-07-28,Ruby,8022
2013-04-13,Ruby,7194
2013-06-02,Ruby,8328
2013-03-15,Ruby,10718
2012-05-06,Ruby,15618
2012-10-24,Ruby,8700
2013-06-15,Ruby,7078
2013-06-19,Ruby,11308
2012-12-09,Ruby,5940
2012-06-14,Ruby,15650
2013-06-03,Ruby,10972
2013-09-21,Ruby,7038
2012-12-23,Ruby,4299
2012-04-04,Ruby,20451
2012-10-14,Ruby,5984
2012-03-12,Ruby,21891
2012-09-29,Ruby,4534
2013-08-02,Ruby,10249
2013-10-06,Ruby,7314
2012-03-27,Ruby,21444
2012-09-12,Ruby,14916
2013-06-08,Ruby,7422
2012-07-20,Ruby,12220
2012-11-21,Ruby,8809
2012-10-29,Ruby,7967
2012-12-03,Ruby,9313
2013-10-07,Ruby,11980
2012-10-22,Ruby,8551
